epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,360.522,0.34327,0.27218,1.09336,0.95289,1,0.9618,0.66279,0.95785,0.71565,1.70427,0.000669821,0.000669821,0.000669821
127,363.414,0.36192,0.29521,1.06658,0.81275,0.90456,0.83897,0.50679,1.40988,1.00757,2.21129,0.000669468,0.000669468,0.000669468
128,366.275,0.39385,0.2957,1.10405,0.89868,0.91667,0.94515,0.77187,0.90367,0.55147,1.51278,0.000669114,0.000669114,0.000669114
129,369.129,0.39013,0.30075,1.11293,0.98923,0.95833,0.9934,0.8859,0.60337,0.39094,1.18533,0.000668761,0.000668761,0.000668761
130,371.982,0.40194,0.30316,1.12066,0.99745,1,0.995,0.88216,0.55711,0.38929,0.96792,0.000668408,0.000668408,0.000668408
131,374.828,0.41282,0.27727,1.07565,0.95827,0.95679,0.98692,0.7787,0.87394,0.58477,1.31803,0.000668054,0.000668054,0.000668054
132,377.707,0.38046,0.28891,1.07088,0.98929,1,0.995,0.80179,0.91597,0.59778,1.53741,0.000667701,0.000667701,0.000667701
133,380.554,0.36477,0.2893,1.03708,0.8562,1,0.97642,0.83304,0.78433,0.58678,1.42309,0.000667347,0.000667347,0.000667347
134,383.441,0.36398,0.31028,1.06957,0.88556,0.79167,0.90273,0.72966,0.77346,0.76147,1.46978,0.000666994,0.000666994,0.000666994
135,386.296,0.34179,0.27023,1.0511,0.83946,0.875,0.86009,0.64653,1.04855,0.81016,1.80657,0.00066664,0.00066664,0.00066664
136,389.173,0.384,0.2757,1.08571,0.85707,0.83333,0.89749,0.68762,1.12041,0.75452,1.97632,0.000666287,0.000666287,0.000666287
137,392.023,0.33941,0.24778,1.01427,0.91968,0.9543,0.95868,0.76593,0.94617,0.56853,1.7293,0.000665934,0.000665934,0.000665934
138,394.876,0.38078,0.29921,1.07919,0.90023,0.91667,0.95076,0.76383,0.84972,0.6131,1.60634,0.00066558,0.00066558,0.00066558
139,397.744,0.37477,0.26076,1.08885,0.79277,0.95647,0.91937,0.67293,0.88925,1.04898,1.69881,0.000665227,0.000665227,0.000665227
140,400.589,0.3667,0.29292,1.03494,0.80843,0.875,0.88255,0.54656,1.22449,0.9604,1.9802,0.000664873,0.000664873,0.000664873
141,403.435,0.41391,0.29838,1.09431,0.79594,1,0.8433,0.55208,1.17222,0.84774,1.9044,0.00066452,0.00066452,0.00066452
142,406.319,0.36079,0.2735,1.08155,0.85636,0.99386,0.8994,0.67678,0.8288,0.73208,1.55011,0.000664166,0.000664166,0.000664166
143,409.167,0.35242,0.28219,1.05437,0.88552,1,0.9886,0.77172,0.76468,0.68278,1.50433,0.000663813,0.000663813,0.000663813
144,412.027,0.35257,0.28168,1.0622,0.95483,1,0.985,0.87592,0.61796,0.55031,1.22068,0.00066346,0.00066346,0.00066346
145,414.875,0.36886,0.26616,1.08171,0.92621,1,0.977,0.88165,0.48597,0.41764,1.03599,0.000663106,0.000663106,0.000663106
146,417.761,0.34909,0.25461,1.04261,0.93313,1,0.977,0.85106,0.57132,0.46103,1.14849,0.000662753,0.000662753,0.000662753
147,420.636,0.31294,0.23177,1.05109,0.91697,1,0.9834,0.87403,0.51384,0.4221,1.04728,0.000662399,0.000662399,0.000662399
148,423.467,0.37218,0.27166,1.09607,0.95085,1,0.9934,0.89575,0.52766,0.34541,1.05456,0.000662046,0.000662046,0.000662046
149,426.39,0.32348,0.26166,1.06068,0.99427,1,0.995,0.90754,0.52002,0.32222,1.06029,0.000661692,0.000661692,0.000661692
